FIELDNAME,ROLLNAME,BUILTIN_TYPE,LENG,DECIMALS,KEYFLAG,REF_TABLE,REF_FIELD
RICHTUNG,,CHAR,10,0,,,
VKNR,MATNR,,,,,,
VKNR_MSTAE,MSTAE,,,,,,
VKNR_VERBRAUCH,MENGE_D,,,,,,KOMPNR_MEINS
KOMPNR,MATNR,,,,,,
KOMPNR_MAKTX,MAKTX,,,,,,
KOMPNR_MEINS,MEINS,,,,,,
MENGE,MENGE_D,,,,,,KOMPNR_MEINS
EXKLUSIV,BOOLE_D,,,,,,
VERBRAUCH,MENGE_D,,,,,,KOMPNR_MEINS
LABST,LABST,,,,,,KOMPNR_MEINS
FESTE_ZUGANG,MENGE_D,,,,,,KOMPNR_MEINS
GEPL_ZUGANG,MENGE_D,,,,,,KOMPNR_MEINS
FESTE_ABGANG,MENGE_D,,,,,,KOMPNR_MEINS
GEPL_ABGANG,MENGE_D,,,,,,KOMPNR_MEINS
ENDBESTAND,MENGE_D,,,,,,KOMPNR_MEINS
OMENG,MENGE_D,,,,,,KOMPNR_MEINS
MKMNG,MENGE_D,,,,,,KOMPNR_MEINS
STUECKKOSTEN,,DEC,11,2,,,
WERT_FESTE_ZUG,,DEC,11,2,,,
WERT_GEPL_ZUG,,DEC,11,2,,,
WERT_FESTE_ABG,,DEC,11,2,,,
WERT_GEPL_ABG,,DEC,11,2,,,
WERT_ENDBESTAND,,DEC,11,2,,,
OWERT,SALK3,,,,,,WAERUNG
OMKWR,SALK3,,,,,,WAERUNG
DISMM,DISMM,,,,,,
MINBE,MINBE,,,,,,KOMPNR_MEINS
DISLS,DISLS,,,,,,
BSTFE,BSTFE,,,,,,KOMPNR_MEINS
EISBE,EISBE,,,,,,KOMPNR_MEINS
MSTAE,MSTAE,,,,,,
MSTAV,MSTAV,,,,,,
BESKZ,BESKZ,,,,,,
ZZLZCOD,ZZLZCOD,,,,,,
ZZLZCODSORT,ZZLZCODSORT,,,,,,
BAUGRUPPE,BOOLE_D,,,,,,
WAERUNG,WAERS,,,,,,
