Server-Analyse (nur lesend)
Datei    : TRIN__02_salestype_restliste.sql
Standort : TRIN (Indien)
Quelle   : SAGE
Host     : 20.197.20.60:30015
Schema   : TRAFAG_LIVE
Zeitpunkt: 2026-08-05 11:20:41
Statements: 6

=== Runde 2: Verteilung des Sales Type und die Restliste fuer RanVijay ===
SALES_TYPE | VENDOR | ARTIKEL | RECHNUNGSZEILEN
FFM | ohne Vendor | 1184 | 5830
LRD | mit Vendor | 93 | 454
-- | ohne Vendor | 65 | 112
-- | mit Vendor | 64 | 264
LRD | ohne Vendor | 30 | 256
FFM | mit Vendor | 10 | 78
CM | ohne Vendor | 2 | 23
NULL | ohne Vendor | 1 | 1
-- 8 Zeile(n), 311 ms

=== 2 RESTLISTE: Artikel, die einen Preferred Vendor brauchen und keinen haben ===
ARTIKEL | BEZEICHNUNG | SALES_TYPE | RECHNUNGSZEILEN | MENGE
DM000083 | GDMINSULATIONASSY (Hyosung Part no-DYB0407018H0001) | LRD | 108 | 2920.000000
DM000084 | GDMINSULATIONASSY, Customer Part no-DYB0407074H0001 | LRD | 27 | 394.000000
PT000023 | NAT(8252) Pressure Transmitter(54273) With Adapter 2100623 (GD00A23000905) | LRD | 26 | 836.000000
DM000190 | Gas Density Sensor_57552 (Modbus Output),customer part no-GD00A23000906 with Adaptor G1/2" M | LRD | 22 | 651.000000
IC15415 | Outer Bellow Assembly (Non LPI) | CM | 13 | 24000.000000
IC15037 | Outer Bellows Assembly With LPI | CM | 10 | 12000.000000
DM000017 | Rain cover X6 with thermal insulation(F90162)_HE00P23Z80602 | LRD | 8 | 329.000000
PT000005 | EPI 250V WITH CONNECTOR (56305) (Part No. 134A088) | LRD | 6 | 635.000000
PS000674 | P2.5-BRASS-1SPDT(26)_3759 | LRD | 6 | 7.000000
DM000318 | Density Monitor (Hybrid)_65441_Customer part no. 2GHV121856A5250 | LRD | 4 | 239.000000
DM000319 | Density Monitor(Hybrid)_65437_Customer part no.2GHV121856A5250 | LRD | 4 | 83.000000
