Server-Analyse (nur lesend)
Datei    : TRIN__04_matnr_bruecke.sql
Standort : TRIN (Indien)
Quelle   : SAGE
Host     : 20.197.20.60:30015
Schema   : TRAFAG_LIVE
Zeitpunkt: 2026-08-05 14:18:12
Statements: 3

=== Runde 4: Gibt es auf dem indischen Artikel die Trafag-Materialnummer? ===
SALES_TYPE | ARTIKEL | MIT_OMN | MIT_ORDERING_CODE | MIT_CUSTOMER_PN | MIT_DRAWING_NO
FFM | 1194 | 1037 | 1189 | 215 | 61
-- | 129 | 96 | 1 | 7 | 2
LRD | 123 | 121 | 119 | 72 | 11
CM | 2 | 0 | 0 | 0 | 2
NULL | 1 | 0 | 0 | 0 | 0
-- 5 Zeile(n), 538 ms

=== 2 Alle LRD-Artikel mit ihren Nummern - Grundlage fuer den Abgleich mit GroupStandardCosts ===
ARTIKEL | MATERIAL_NO | ORDERING_CODE | VENDOR | RECHNUNGSZEILEN
DM000083 | -- | Code 46 + code 06 |  | 108
PT000003 | 57291 | 8283.78.2511.05.0000.0000.19.58 | V0078 | 48
PT000010 | 54859 | 8254.78.2315.32.0000.0000.23.61 | V0078 | 43
PT000038 | 62641 | 8283 25 2530 05 0000 0000 19 92 | V0078 | 30
DM000084 | -- | Code 46 + code 06 |  | 27
PT000023 | 54273 | 8252.78.2517.35.0000.0000.19.33.44.61 |  | 26
PT000001 | 57289 | 8283.75.2511.05.0000.0000.19.58 | V0078 | 25
PT000045 | 54355 | 8283.GA.2530.05.0000.0000.19.92- 1/4 " NPT male | V0078 | 23
PT000019 | 38977 | 8293.78.1019.04.0000.0000.19.58.92.01 | V0078 | 23
DM000190 | 57552 | 8775.50.1105.Y1.0000.0000.33.79.95 |  | 22
PT000022 | 61269 | 8283.78.2319.05.0000.0000.19.58.92. | V0078 | 19
DM000156 | 63127 | 8782.20.1430.Y1.0000.0000.11.60.61.66.U1.01.01.01 | V0078 | 16
PT000056 | 54356 | 8283.G7.2530.05.0000.0000.19.92 | V0078 | 13
DM000033 | 59862 | 8782.20.2320.Y1.0000.0000.10.60.61.C5.U1.U2.01.01 | V0078 | 11
DM000222 | 52620 | 8783.20.2300.Y1.0000.0000.60.61.71.1U.01.01.01 | V0078 | 10
PS000675 | 43731 | 9B4.4277.770.04.0000.0000.46.V3.98 | V0078 | 10
PT000057 | 54357 | 8283.G6.2530.05.0000.0000.19.92 | V0078 | 9
DM000132 | 58309 | 8783.20.1430.Y1.0000.0000.11.60.61.66.U1.01.01.01 | V0078 | 9
DM000301 | 54387 | 8736.20.2300.Y1.0000.0000.60.61.71.01.01.01 | V0078 | 8
DM000017 | F90162 |  |  | 8
