TSC;Land;InvoiceYear;InvoiceSeries;InvoiceNumber;PositionOnInvoice;CustomerNumber;CustomerName;InvoiceType;DocumentType;NonBillable;BillingStatus;InvoiceDate;DeliveryDate;LineRegistrationDate;Quantity;SalesPriceValue;DocumentNetAmount;DocumentVatAmount;DocumentGrossAmount;SalesCurrency
"TRES";"Spanien";"2025";"REG";"20241332";"20";"302208";"INTRONIK AUTOMATIZACION E INST. SL";"0";"Invoice";"0";"-1";"2025-01-02";"2025-01-02";"2025-01-02";1.000000;265.000000;265.000000;55.650000;320.650000;"EUR"
"TRES";"Spanien";"2025";"REG";"20241333";"20";"302115";"TECNO. DE CONTROL Y ACCIONAMIENTOS,";"0";"Invoice";"0";"-1";"2025-01-02";"2025-01-02";"2025-01-02";0.000000;0.000000;133.000000;27.930000;160.930000;"EUR"
"TRES";"Spanien";"2025";"REG";"20241333";"30";"302115";"TECNO. DE CONTROL Y ACCIONAMIENTOS,";"0";"Invoice";"0";"-1";"2025-01-02";"2025-01-02";"2025-01-02";1.000000;133.000000;133.000000;27.930000;160.930000;"EUR"
"TRES";"Spanien";"2025";"REG";"20241334";"20";"302115";"TECNO. DE CONTROL Y ACCIONAMIENTOS,";"0";"Invoice";"0";"-1";"2025-01-02";"2025-01-02";"2025-01-02";0.000000;0.000000;49.000000;10.290000;59.290000;"EUR"
"TRES";"Spanien";"2025";"REG";"20241334";"30";"302115";"TECNO. DE CONTROL Y ACCIONAMIENTOS,";"0";"Invoice";"0";"-1";"2025-01-02";"2025-01-02";"2025-01-02";1.000000;49.000000;49.000000;10.290000;59.290000;"EUR"
"TRES";"Spanien";"2025";"REG";"20241335";"10";"302115";"TECNO. DE CONTROL Y ACCIONAMIENTOS,";"0";"Invoice";"0";"-1";"2025-01-02";"2025-01-02";"2025-01-02";1.000000;90.000000;270.000000;56.700000;326.700000;"EUR"
"TRES";"Spanien";"2025";"REG";"20241335";"20";"302115";"TECNO. DE CONTROL Y ACCIONAMIENTOS,";"0";"Invoice";"0";"-1";"2025-01-02";"2025-01-02";"2025-01-02";2.000000;180.000000;270.000000;56.700000;326.700000;"EUR"
"TRES";"Spanien";"2025";"REG";"20241336";"10";"302530";"HIDYMEC SUMINISTROS, S.L.U.";"0";"Invoice";"0";"-1";"2025-01-03";"2025-01-03";"2025-01-03";1.000000;94.200000;94.200000;19.780000;113.980000;"EUR"
"TRES";"Spanien";"2025";"PRO";"1";"20";"301143";"HINE RENOVABLES, S.L.";"0";"Invoice";"0";"-1";"2025-01-07";"2025-01-07";"2025-01-07";150.000000;3309.000000;8824.000000;1853.040000;10677.040000;"EUR"
"TRES";"Spanien";"2025";"PRO";"1";"30";"301143";"HINE RENOVABLES, S.L.";"0";"Invoice";"0";"-1";"2025-01-07";"2025-01-07";"2025-01-07";250.000000;5515.000000;8824.000000;1853.040000;10677.040000;"EUR"
